stories_id,publish_date,title,url,language,ap_syndicated,themes,subtopics,inlink_count,facebook_share_count,outlink_count,media_inlink_count,media_id,media_name,media_url
656778617,##########,Dem Senator: Trump’s Claim Of Ignorance On Son’s Russian Meeting ‘Strains Credibility’,http://dailycaller.com/2017/07/13/dem-senator-trumps-claim-of-ignorance-on-sons-russian-meeting-strains-credibility/,en,FALSE,"politics and government, united states politics and government, armament, defense and military forces, united states international relations, international relations",,0,1372,0,0,18775,Daily Caller,http://dailycaller.com
667529587,##########,Ukraine Has Increased Volatility As New Russian Sanctions Introduced,http://dailycaller.com/2017/08/01/ukraine-has-increased-volatility-as-new-russian-sanctions-introduced/,en,FALSE,"politics and government, united states politics and government, armament, defense and military forces, united states armament and defense, united states international relations, international relations, atomic weapons, embargoes and economic sanctions",,0,25,0,0,18775,Daily Caller,http://dailycaller.com
677685365,##########,Trump Tower Meeting Attendee Has Closer Ties To Russian Government Than Previously Known,http://dailycaller.com/2017/08/21/trump-tower-meeting-attendee-has-closer-ties-to-russian-government-than-previously-known/,en,FALSE,politics and government,,0,726,1,0,18775,Daily Caller,http://dailycaller.com
713226039,##########,Krauthammer: Trump’s Defense Of Russia Narrative As Dem Nonsense ‘Officially Dead’,http://dailycaller.com/2017/07/14/krauthammer-trumps-defense-of-russia-narrative-as-dem-nonsense-officially-dead/,en,FALSE,"politics and government, united states politics and government, news and news media, media",,0,13,0,0,18775,Daily Caller,http://dailycaller.com
655172671,##########,Trump Jr. &#8216;Happy&#8217; To Cooperate With Senate Intel Committee,http://dailycaller.com/2017/07/10/trump-jr-happy-to-cooperate-with-senate-intel-committee/,en,FALSE,"politics and government, united states politics and government",,0,581,0,0,18775,Daily Caller,http://dailycaller.com
801659781,##########,Mueller’s Investigation Focusing On Whether Trump Covered Up Don Jr. Trump Tower Meeting,http://dailycaller.com/2017/08/28/muellers-investigation-focusing-on-whether-trump-covered-up-don-jr-trump-tower-meeting/?utm_campaign=atdailycaller&utm_source=Twitter&utm_medium=Social,en,FALSE,"politics and government, united states politics and government, elections, presidents and presidency (us), presidential elections (us), presidential election of 2004, conventions, national (us), conventions and conferences",,0,1436,0,0,18775,Daily Caller,http://dailycaller.com
656321161,##########,Senate Dem: Don Jr. Could Face Prison Time If Convicted,http://dailycaller.com/2017/07/12/senate-dem-don-jr-could-face-prison-time-if-convicted/,en,FALSE,"politics and government, united states politics and government, crime and criminals",,0,312,0,0,18775,Daily Caller,http://dailycaller.com
659338635,##########,Report: Mueller&#8217;s Team Has Identified The Mystery Man In Trump Tower Meeting,http://dailycaller.com/2017/07/18/report-muellers-team-has-identified-the-mystery-man-in-trump-tower-meeting/,en,FALSE,"politics and government, crime and criminals, ethics",,0,1330,0,0,18775,Daily Caller,http://dailycaller.com
667105039,##########,Feinstein Praises Witness Who Criticized Trump Dossier Firm,http://dailycaller.com/2017/07/31/feinstein-praises-witness-who-criticized-trump-dossier-firm/,en,FALSE,"politics and government, united states politics and government, united states international relations, international relations, legal profession",,0,95,0,0,18775,Daily Caller,http://dailycaller.com
659395378,##########,8th Person In Trump Tower Meeting Has Been Identified,http://dailycaller.com/2017/07/18/8th-person-in-trump-tower-meeting-has-been-identified/,en,FALSE,"politics and government, united states politics and government, crime and criminals, ethics, frauds and swindling, biographical information",,0,802,2,0,18775,Daily Caller,http://dailycaller.com
683090113,##########,Manafort&#8217;s Notes Show &#8216;Donations&#8217; Were Discussed At Don Jr. Trump Tower Meeting,http://dailycaller.com/2017/08/31/manaforts-notes-show-donations-were-discussed-at-don-jr-trump-tower-meeting/,en,FALSE,"politics and government, united states politics and government, elections, lobbying and lobbyists, terrorism, ethics",,0,8,2,0,18775,Daily Caller,http://dailycaller.com
682563140,##########,Trump Calls Grassley Before He Grills Don Jr. On Trump Tower Meeting,http://dailycaller.com/2017/08/30/trump-calls-grassley-before-he-grills-don-jr-on-trump-tower-meeting/,en,FALSE,"politics and government, united states politics and government, elections, lobbying and lobbyists, oil (petroleum) and gasoline, environment",,0,346,2,0,18775,Daily Caller,http://dailycaller.com
656243164,##########,Even WaPo&#8217;s Moscow Bureau Chief Is Skeptical About The Russian Lawyer Story,http://dailycaller.com/2017/07/12/even-wapos-moscow-bureau-chief-is-skeptical-about-the-russian-lawyer-story/,en,FALSE,politics and government,,0,2404,3,0,18775,Daily Caller,http://dailycaller.com
658338296,##########,Dems: Trump Jr. Meeting &#8216;Clear Evidence&#8217; Of Intent To Collude [VIDEO],http://dailycaller.com/2017/07/16/dems-trump-jr-meeting-clear-evidence-of-intent-to-collude-video/,en,FALSE,"politics and government, united states politics and government, elections, recordings (audio), recordings (video)",,0,1467,0,0,18775,Daily Caller,http://dailycaller.com
695293508,##########,Senate Panel Postpones Hearing That Would Have Centered On Dossier And Trump Tower Meeting,http://dailycaller.com/2017/07/18/senate-panel-postpones-hearing-that-would-have-centered-on-dossier-and-trump-tower-meeting/?utm_source=site-share,en,FALSE,"politics and government, united states politics and government, armament, defense and military forces, terrorism, international relations",,0,68,0,0,18775,Daily Caller,http://dailycaller.com
747401524,##########,Here’s What We Know About The Suspected Ex-Soviet Intel Officer Who Attended Trump Tower Meeting - The Daily Caller,http://amp.dailycaller.com/2017/07/14/heres-what-we-know-about-the-suspected-ex-soviet-intel-officer-who-attended-trump-tower-meeting/,en,FALSE,"politics and government, ethics, international relations, frauds and swindling",,0,277,6,0,18775,Daily Caller,http://dailycaller.com
660701825,##########,Rohrabacher Aide Fired After Russia Revelations,http://dailycaller.com/2017/07/20/rohrabacher-aide-fired-after-russia-revelations/,en,FALSE,"politics and government, united states politics and government, lobbying and lobbyists, united states international relations, international relations, foreign service",,0,13,2,0,18775,Daily Caller,http://dailycaller.com
658755016,##########,Secret Service Denies Vetting Trump Jr.&#8217;s Russia Meeting,http://dailycaller.com/2017/07/17/secret-service-denies-vetting-trump-jr-s-russia-meeting/,en,FALSE,"politics and government, united states politics and government",,0,486,2,0,18775,Daily Caller,http://dailycaller.com
660110297,##########,Senate Committee Invites Don Jr. And Manafort To Hearing Scheduled For Next Week,http://dailycaller.com/2017/07/19/senate-committee-invites-don-jr-and-manafort-to-hearing-scheduled-for-next-week/,en,FALSE,"politics and government, terrorism",,0,6,0,0,18775,Daily Caller,http://dailycaller.com
672914664,##########,Congressional Investigators Want To Question Trump&#8217;s Longtime Personal Secretary,http://dailycaller.com/2017/08/11/congressional-investigators-want-to-question-trumps-longtime-personal-secretary/,en,FALSE,"politics and government, united states politics and government",,0,1766,1,0,18775,Daily Caller,http://dailycaller.com
659314052,##########,Why Is An Irrelevant Clinton Tweet In This Politifact Check On Trump&#8217;s Whereabouts?,http://dailycaller.com/2017/07/18/why-is-an-irrelevant-clinton-tweet-in-this-politifact-check-on-trumps-whereabouts/,en,FALSE,"politics and government, united states politics and government, elections",,0,222,1,0,18775,Daily Caller,http://dailycaller.com
658784553,##########,Why Donald Trump Jr. Was Skeptical Of Goldstone&#8217;s Claims In Email,http://dailycaller.com/2017/07/17/why-donald-trump-jr-was-skeptical-of-goldstones-claims-in-email/,en,FALSE,"politics and government, news and news media, media, ethics",,0,2,4,0,18775,Daily Caller,http://dailycaller.com
656801930,##########,"Time Magazine&#8217;s Cover Features Don Jr., And It&#8217;s A Doozy",http://dailycaller.com/2017/07/13/time-magazines-cover-features-don-jr-and-its-a-doozy/,en,FALSE,"politics and government, computers and the internet, united states politics and government, presidents and presidency (us), television, news and news media",,0,915,0,0,18775,Daily Caller,http://dailycaller.com
692683276,##########,Trump Breaks His Silence On Don Jr. -- Here's His Whole Statement,http://dailycaller.com/2017/07/11/trump-weighs-in-on-don-jr-email-chain-my-son-is-a-high-quality-person/?utm_source=site-share,en,FALSE,"politics and government, united states politics and government, elections, presidents and presidency (us), presidential elections (us), presidential election of 2004, conventions and conferences",,0,1791,0,0,18775,Daily Caller,http://dailycaller.com
